date,temperature_2m_mean
2015-10-24 00:00:00+00:00,10.117417
2015-10-25 00:00:00+00:00,11.048667
2015-10-26 00:00:00+00:00,9.261166
2015-10-27 00:00:00+00:00,8.763251
2015-10-28 00:00:00+00:00,10.582
2015-10-29 00:00:00+00:00,10.536166
2015-10-30 00:00:00+00:00,9.17575
2015-10-31 00:00:00+00:00,8.777835
2015-11-01 00:00:00+00:00,7.6965847
2015-11-02 00:00:00+00:00,6.4299164
2015-11-03 00:00:00+00:00,7.1090837
2015-11-04 00:00:00+00:00,8.871583
2015-11-05 00:00:00+00:00,9.573667
2015-11-06 00:00:00+00:00,11.965333
2015-11-07 00:00:00+00:00,13.440334
2015-11-08 00:00:00+00:00,12.442418
2015-11-09 00:00:00+00:00,12.638251
2015-11-10 00:00:00+00:00,10.448667
2015-11-11 00:00:00+00:00,7.704916
2015-11-12 00:00:00+00:00,6.834083
2015-11-13 00:00:00+00:00,8.684084
2015-11-14 00:00:00+00:00,9.136167
2015-11-15 00:00:00+00:00,10.709084
2015-11-16 00:00:00+00:00,8.559083
2015-11-17 00:00:00+00:00,10.3945
2015-11-18 00:00:00+00:00,12.148666
2015-11-19 00:00:00+00:00,12.934083
2015-11-20 00:00:00+00:00,11.657001
2015-11-21 00:00:00+00:00,3.6403325
2015-11-22 00:00:00+00:00,1.6674165
2015-11-23 00:00:00+00:00,1.0424167
2015-11-24 00:00:00+00:00,0.45491672
2015-11-25 00:00:00+00:00,2.5695
2015-11-26 00:00:00+00:00,2.3632503
2015-11-27 00:00:00+00:00,1.6799167
2015-11-28 00:00:00+00:00,0.9299167
2015-11-29 00:00:00+00:00,5.5486665
2015-11-30 00:00:00+00:00,8.97575
2015-12-01 00:00:00+00:00,8.221582
2015-12-02 00:00:00+00:00,3.915334
2015-12-03 00:00:00+00:00,2.51325
2015-12-04 00:00:00+00:00,3.8153331
2015-12-05 00:00:00+00:00,4.617417
2015-12-06 00:00:00+00:00,5.4632497
2015-12-07 00:00:00+00:00,5.17575
2015-12-08 00:00:00+00:00,3.7736673
2015-12-09 00:00:00+00:00,5.76325
2015-12-10 00:00:00+00:00,1.4569999
2015-12-11 00:00:00+00:00,2.7590828
2015-12-12 00:00:00+00:00,3.6195
2015-12-13 00:00:00+00:00,1.5715833
2015-12-14 00:00:00+00:00,1.3007499
2015-12-15 00:00:00+00:00,2.8986664
2015-12-16 00:00:00+00:00,7.60075
2015-12-17 00:00:00+00:00,6.7590833
2015-12-18 00:00:00+00:00,6.91325
2015-12-19 00:00:00+00:00,5.8049164
2015-12-20 00:00:00+00:00,5.7382503
2015-12-21 00:00:00+00:00,6.7153335
2015-12-22 00:00:00+00:00,6.3945003
2015-12-23 00:00:00+00:00,6.4278336
2015-12-24 00:00:00+00:00,6.415334
2015-12-25 00:00:00+00:00,6.0695
2015-12-26 00:00:00+00:00,4.2695
2015-12-27 00:00:00+00:00,3.527833
2015-12-28 00:00:00+00:00,1.5111666
2015-12-29 00:00:00+00:00,2.7215834
2015-12-30 00:00:00+00:00,3.6319997
2015-12-31 00:00:00+00:00,4.373667
2016-01-01 00:00:00+00:00,5.4570003
2016-01-02 00:00:00+00:00,5.0007496
2016-01-03 00:00:00+00:00,5.0382495
2016-01-04 00:00:00+00:00,3.840334
2016-01-05 00:00:00+00:00,3.55075
2016-01-06 00:00:00+00:00,2.9090834
2016-01-07 00:00:00+00:00,4.2236667
2016-01-08 00:00:00+00:00,4.7799172
2016-01-09 00:00:00+00:00,5.542416
2016-01-10 00:00:00+00:00,5.2757497
2016-01-11 00:00:00+00:00,5.640333
2016-01-12 00:00:00+00:00,4.2674165
2016-01-13 00:00:00+00:00,2.1007502
2016-01-14 00:00:00+00:00,0.29241645
2016-01-15 00:00:00+00:00,0.89449996
2016-01-16 00:00:00+00:00,-0.27841666
2016-01-17 00:00:00+00:00,-1.6784167
2016-01-18 00:00:00+00:00,-5.372167
2016-01-19 00:00:00+00:00,-1.9284168
2016-01-20 00:00:00+00:00,-0.98883337
2016-01-21 00:00:00+00:00,-2.0700834
2016-01-22 00:00:00+00:00,-2.1159165
2016-01-23 00:00:00+00:00,2.4236667
2016-01-24 00:00:00+00:00,0.53824997
2016-01-25 00:00:00+00:00,2.9882498
2016-01-26 00:00:00+00:00,4.95075
2016-01-27 00:00:00+00:00,6.177834
2016-01-28 00:00:00+00:00,6.9778333
2016-01-29 00:00:00+00:00,6.0695
2016-01-30 00:00:00+00:00,5.4632497
2016-01-31 00:00:00+00:00,7.8653336
2016-02-01 00:00:00+00:00,9.815333
2016-02-02 00:00:00+00:00,8.58825
2016-02-03 00:00:00+00:00,4.9028335
2016-02-04 00:00:00+00:00,3.092416
2016-02-05 00:00:00+00:00,5.9632506
2016-02-06 00:00:00+00:00,4.571583
2016-02-07 00:00:00+00:00,2.7049167
